City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
484,pasighat,28.0667,95.3333,283.96,53,3,1.76,IN,1674083154
485,pacifica,37.6138,-122.4869,287.82,78,75,4.02,US,1674083155
486,pangnirtung,66.1451,-65.7125,246.87,67,81,2.72,CA,1674083156
487,poum,-20.2333,164.0167,299.82,71,76,5.76,NC,1674083156
488,marawi,7.9986,124.2928,293.53,96,99,0.72,PH,1674083157
489,hambantota,6.1241,81.1185,296.82,65,78,7.19,LK,1674083158
490,najran,17.4924,44.1277,286.26,62,10,1.82,SA,1674082968
491,dhidhdhoo,6.8833,73.1,299.91,77,14,5.98,MV,1674083159
492,coahuayana,18.7333,-103.6833,298.46,57,100,2.6,MX,1674083160
493,lavrentiya,65.5833,-171.0,243.33,92,14,3.41,RU,1674083161
494,sabancuy,18.9667,-91.1833,301.14,67,48,2.54,MX,1674083161
495,sokol,59.4617,40.1206,272.33,90,100,6.56,RU,1674083162
496,cabo rojo,18.0866,-67.1457,298.53,60,0,2.6,PR,1674083163
497,barkhan,29.8977,69.5256,281.01,46,92,1.48,PK,1674083164
498,areka,7.0667,37.7,287.82,36,15,2.7,ET,1674083165
499,arrecife,28.963,-13.5477,291.14,59,75,6.69,ES,1674083166
500,chanika,-5.4167,38.0167,292.36,99,99,1.27,TZ,1674083167
501,gimli,50.6336,-96.9907,261.03,94,98,1.07,CA,1674083168
502,garissa,-0.4536,39.6401,296.95,75,91,3.51,KE,1674083169
503,zapolyarnyy,69.4154,30.8136,267.75,96,77,2.84,RU,1674083170
504,puerto colombia,10.9878,-74.9547,299.5,82,31,8.6,CO,1674082935
505,coos bay,43.3665,-124.2179,280.33,99,100,4.12,US,1674083023
506,chifeng,42.2683,118.9636,259.45,83,3,1.62,CN,1674083174
507,tocopilla,-22.092,-70.1979,295.1,72,37,4.09,CL,1674083175
508,isangel,-19.55,169.2667,299.33,92,100,2.63,VU,1674083176
509,skibbereen,51.55,-9.2667,275.99,71,100,2.42,IE,1674083178
510,mumford,5.2618,-0.759,299.66,86,85,3.97,GH,1674082934
511,nemuro,43.3236,145.575,266.94,68,62,4.8,JP,1674083179
512,pundaguitan,6.3711,126.1689,299.84,80,80,2.77,PH,1674083180
513,itacare,-14.2775,-38.9967,297.75,84,82,2.25,BR,1674083181
514,rio gallegos,-51.6226,-69.2181,293.41,44,1,6.17,AR,1674083182
515,mehriz,31.5917,54.4318,270.68,79,5,1.67,IR,1674083183
516,esso,55.9333,158.7,253.87,95,100,3.19,RU,1674083184
517,sao joao da barra,-21.6403,-41.0511,299.2,88,0,5.08,BR,1674083185
518,kupang,-10.1667,123.5833,299.47,100,75,1.03,ID,1674083185
519,umuahia,5.5263,7.4896,297.89,80,37,2.06,NG,1674083187
520,wajima,37.4,136.9,277.45,62,26,3.24,JP,1674083188
521,koygorodok,60.445,50.9968,265.77,87,100,3.67,RU,1674083189
522,traverse city,44.7631,-85.6206,274.6,86,100,1.54,US,1674082935
523,kutum,14.2,24.6667,289.23,22,100,2.22,SD,1674083190
524,vila franca do campo,37.7167,-25.4333,284.38,79,25,2.34,PT,1674083191
525,ravar,31.2656,56.8055,276.61,73,10,1.04,IR,1674083193
526,horizontina,-27.6258,-54.3078,301.93,49,68,3.6,BR,1674083194
527,ust-maya,60.4167,134.5333,229.6,98,100,0.85,RU,1674083196
528,hit,33.6416,42.8251,285.03,71,0,4.3,IQ,1674083197
529,parabel,58.6978,81.4825,255.36,97,100,2.27,RU,1674083198
530,sibu,2.3,111.8167,295.83,98,100,1.02,MY,1674083199
531,bahia blanca,-38.7196,-62.2724,295.44,88,20,5.14,AR,1674083200
532,pochutla,15.7432,-96.4661,301.05,65,35,4.67,MX,1674083201
533,ordzhonikidze,52.4411,61.7408,255.21,68,3,2.81,KZ,1674083202
534,harper,4.375,-7.7169,299.73,82,75,3.16,LR,1674083203
535,mabaruma,8.2,-59.7833,294.64,87,70,1.51,GY,1674083204
536,back mountain,41.3359,-75.9963,278.91,77,100,3.33,US,1674083205
537,narsaq,60.9167,-46.05,275.27,82,100,3.55,GL,1674082998
538,pangai,-19.8,-174.35,301.34,77,69,4.07,TO,1674083206
539,tamworth,52.634,-1.6959,274.33,93,34,2.97,GB,1674082929
540,ambulu,-8.345,113.6058,298.22,89,100,1.29,ID,1674083207
541,richards bay,-28.783,32.0377,298.73,76,36,6.19,ZA,1674083208
542,araceli,10.5529,119.9913,300.09,84,100,9.32,PH,1674083209
543,mehamn,71.0357,27.8492,271.1,86,75,5.14,NO,1674083210
544,izhma,65.0083,53.9113,263.15,95,98,3.02,RU,1674083210
545,qandala,11.472,49.8728,296.32,65,28,2.15,SO,1674083211
546,dong hoi,17.4833,106.6,288.86,89,99,4.1,VN,1674083212
547,roma,43.2128,-75.4557,277.01,95,100,4.12,US,1674083030
548,luganville,-15.5333,167.1667,298.24,92,100,5.54,VU,1674083213
549,irece,-11.3042,-41.8558,296.5,58,85,6.36,BR,1674083214
550,baturaja,-4.1333,104.1667,295.39,98,100,1.83,ID,1674083215
551,beisfjord,68.3751,17.5988,272.18,75,100,3.59,NO,1674083215
552,llano de piedra,7.6667,-80.5667,298.09,99,60,2.02,PA,1674083216
553,catalca,41.1432,28.4615,288.68,69,19,10.94,TR,1674083216
554,fernley,39.608,-119.2518,277.59,59,95,0.89,US,1674083217
555,kuching,1.55,110.3333,299.28,93,20,1.03,MY,1674083218
556,kawambwa,-9.7915,29.0791,288.37,93,97,1.16,ZM,1674083219
557,shimoda,34.6667,138.95,278.21,82,88,5.16,JP,1674083015
558,truro,50.2653,-5.0544,279.75,70,20,7.2,GB,1674083220
559,deogarh,21.5333,84.7333,291.85,93,95,0.93,IN,1674083220
